,id,Brown dwarf,Constellation,Right ascension,Declination,Distance,Mass,Radius,Discovery year,star_names,distance,mass,radius
410,410,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Almaaz,0653,15,140
411,411,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Almaaz,0653,15,140
412,412,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Almaaz,0653,15,140
413,413,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Almaaz,0653,15,140
414,414,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Almaaz,0653,15,140
415,415,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Almaaz,0653,15,140
416,416,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Rasalgethi,0360,2.8,280
417,417,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Rasalgethi,0360,2.8,280
418,418,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Rasalgethi,0360,2.8,280
419,419,2MASS J03341218-4953322,0,3h 34m 12.18s,−49° 53′ 32.2″,27.0,0.069684924,0.10687352,0.0,Rasalgethi,0360,2.8,280
420,420,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Rasalgethi,0360,2.8,280
421,421,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Rasalgethi,0360,2.8,280
422,422,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Rasalgethi,0360,2.8,280
423,423,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Rasalgethi,0360,2.8,280
424,424,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Tau Ceti,011.9,0.783,0.893
425,425,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Tau Ceti,011.9,0.783,0.893
426,426,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Tau Ceti,011.9,0.783,0.893
427,427,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Tau Ceti,011.9,0.783,0.893
428,428,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Tau Ceti,011.9,0.783,0.893
429,429,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,20.9,0.069684924,0.1469510899999999,0.0,Tau Ceti,011.9,0.783,0.893
430,430,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Tau Ceti,011.9,0.783,0.893
431,431,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Tau Ceti,011.9,0.783,0.893
432,432,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Delta Pavonis,019.92,0.991,1.22
433,433,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Delta Pavonis,019.92,0.991,1.22
434,434,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Delta Pavonis,019.92,0.991,1.22
435,435,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Delta Pavonis,019.92,0.991,1.22
436,436,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Delta Pavonis,019.92,0.991,1.22
437,437,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Delta Pavonis,019.92,0.991,1.22
438,438,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Delta Pavonis,019.92,0.991,1.22
439,439,2MASP J0345432+254023,0,3h 45m 43.16s,25° 40′ 23.3″,88.0,0.070639512,0.10790115,1997.0,Delta Pavonis,019.92,0.991,1.22
440,440,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,Ran,010.48,0.82,0.74
441,441,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,Ran,010.48,0.82,0.74
442,442,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,Ran,010.48,0.82,0.74
443,443,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,Ran,010.48,0.82,0.74
444,444,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,Ran,010.48,0.82,0.74
445,445,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,Ran,010.48,0.82,0.74
446,446,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,Ran,010.48,0.82,0.74
447,447,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,Ran,010.48,0.82,0.74
448,448,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,V382 Carinae,"08,900",20,485
449,449,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,380.0,0.05250234,0.3884441399999999,1995.0,V382 Carinae,"08,900",20,485
450,450,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,V382 Carinae,"08,900",20,485
451,451,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,V382 Carinae,"08,900",20,485
452,452,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,V382 Carinae,"08,900",20,485
453,453,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,V382 Carinae,"08,900",20,485
454,454,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,V382 Carinae,"08,900",20,485
455,455,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,V382 Carinae,"08,900",20,485
456,456,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,Eta Carinae,"07,500",100,60 - 881
457,457,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,Eta Carinae,"07,500",100,60 - 881
458,458,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,Eta Carinae,"07,500",100,60 - 881
459,459,2MASS J03510004-0052452,0,3h 51m 0.04s,−0° 52′ 45.2″,48.0,0.097367976,0.1305090099999999,0.0,Eta Carinae,"07,500",100,60 - 881
460,460,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Eta Carinae,"07,500",100,60 - 881
461,461,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Eta Carinae,"07,500",100,60 - 881
462,462,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Eta Carinae,"07,500",100,60 - 881
463,463,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Eta Carinae,"07,500",100,60 - 881
464,464,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Delta Cephei,0887,4.5,44.5
465,465,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Delta Cephei,0887,4.5,44.5
466,466,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Delta Cephei,0887,4.5,44.5
467,467,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Delta Cephei,0887,4.5,44.5
468,468,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Delta Cephei,0887,4.5,44.5
469,469,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,29.8,0.01909176,0.13564716,2006.0,Delta Cephei,0887,4.5,44.5
480,480,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Titawin,044.25,1.27,1.48
481,481,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Titawin,044.25,1.27,1.48
482,482,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Titawin,044.25,1.27,1.48
483,483,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Titawin,044.25,1.27,1.48
484,484,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Titawin,044.25,1.27,1.48
485,485,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Titawin,044.25,1.27,1.48
486,486,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Titawin,044.25,1.27,1.48
487,487,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Titawin,044.25,1.27,1.48
488,488,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Rho Cassiopeiae,"08,154",22,636-981
489,489,2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,18.6,0.02863764,0.0976248499999999,2002.0,Rho Cassiopeiae,"08,154",22,636-981
500,500,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,P Cygni,"05,545",30,76
501,501,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,P Cygni,"05,545",30,76
502,502,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,P Cygni,"05,545",30,76
503,503,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,P Cygni,"05,545",30,76
504,504,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,La Superba,"01,000",,129 - 342
505,505,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,La Superba,"01,000",,129 - 342
506,506,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,La Superba,"01,000",,129 - 342
507,507,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,La Superba,"01,000",,129 - 342
508,508,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,La Superba,"01,000",,129 - 342
509,509,2MASS J04285096-2253227 [de],Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,85.0,0.07636704,0.11201167,2003.0,La Superba,"01,000",,129 - 342
510,510,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,La Superba,"01,000",,129 - 342
511,511,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,La Superba,"01,000",,129 - 342
512,512,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,VV Cephei,"04,900",18.2,"516 - 1,050"
513,513,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,VV Cephei,"04,900",18.2,"516 - 1,050"
514,514,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,VV Cephei,"04,900",18.2,"516 - 1,050"
515,515,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,VV Cephei,"04,900",18.2,"516 - 1,050"
516,516,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,VV Cephei,"04,900",18.2,"516 - 1,050"
517,517,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,VV Cephei,"04,900",18.2,"516 - 1,050"
518,518,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,VV Cephei,"04,900",18.2,"516 - 1,050"
519,519,2MASS J04351612-1606574,0,4h 35m 16.13s,−16° 6′ 57.5″,34.0,0.0954588,0.1294813799999999,0.0,VV Cephei,"04,900",18.2,"516 - 1,050"
520,520,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,61 Cygni,011.41,0.7,0.665
521,521,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,61 Cygni,011.41,0.7,0.665
522,522,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,61 Cygni,011.41,0.7,0.665
523,523,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,61 Cygni,011.41,0.7,0.665
524,524,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,61 Cygni,011.41,0.7,0.665
525,525,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,61 Cygni,011.41,0.7,0.665
526,526,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,61 Cygni,011.41,0.7,0.665
527,527,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,61 Cygni,011.41,0.7,0.665
528,528,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,R Doradus,0178,0.7 - 1.0,298
529,529,2MASS J04362788-4114465,0,4h 36m 27.88s,−41° 14′ 46.5″,142.0,0.037228932,0.2024431099999999,0.0,R Doradus,0178,0.7 - 1.0,298
530,530,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,R Doradus,0178,0.7 - 1.0,298
531,531,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,R Doradus,0178,0.7 - 1.0,298
532,532,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,R Doradus,0178,0.7 - 1.0,298
533,533,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,R Doradus,0178,0.7 - 1.0,298
534,534,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,R Doradus,0178,0.7 - 1.0,298
535,535,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,R Doradus,0178,0.7 - 1.0,298
536,536,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,Polaris Australis,0281,1.59,3.74
537,537,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,Polaris Australis,0281,1.59,3.74
538,538,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,Polaris Australis,0281,1.59,3.74
539,539,2MASS J04390101-2353083 [de],Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,29.5,0.045820224,0.0996801099999999,2003.0,Polaris Australis,0281,1.59,3.74
540,540,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,Polaris Australis,0281,1.59,3.74
541,541,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,Polaris Australis,0281,1.59,3.74
542,542,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,Polaris Australis,0281,1.59,3.74
543,543,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,Polaris Australis,0281,1.59,3.74
544,544,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,R Coronae Borealis,"04,566",0.85,85
545,545,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,R Coronae Borealis,"04,566",0.85,85
546,546,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,R Coronae Borealis,"04,566",0.85,85
547,547,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,R Coronae Borealis,"04,566",0.85,85
548,548,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,R Coronae Borealis,"04,566",0.85,85
549,549,2MASS J04414489+2301513,0,4h 41m 44.9s,23° 1′ 58.07″,470.0,0.018137172,0.0,2010.0,R Coronae Borealis,"04,566",0.85,85
550,550,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,R Coronae Borealis,"04,566",0.85,85
551,551,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,R Coronae Borealis,"04,566",0.85,85
552,552,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,54 Piscium,036.1,0.76,0.94
553,553,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,54 Piscium,036.1,0.76,0.94
554,554,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,54 Piscium,036.1,0.76,0.94
555,555,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,54 Piscium,036.1,0.76,0.94
556,556,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,54 Piscium,036.1,0.76,0.94
557,557,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,54 Piscium,036.1,0.76,0.94
558,558,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,54 Piscium,036.1,0.76,0.94
559,559,2MASS J04433764+0002040,0,4h 43m 37.61s,−0° 2′ 5.1″,82.0,0.021000936,0.1829181399999999,0.0,54 Piscium,036.1,0.76,0.94
560,560,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,Mira,0300,1.2,370
561,561,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,Mira,0300,1.2,370
562,562,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,Mira,0300,1.2,370
563,563,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,Mira,0300,1.2,370
564,564,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,Mira,0300,1.2,370
565,565,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,Mira,0300,1.2,370
566,566,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,Mira,0300,1.2,370
567,567,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,Mira,0300,1.2,370
568,568,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,RW Cephei,"014,000",13.9,"1,158"
569,569,2MASS J04455387-3048204 [de],Caelum,4h 45m 53.87s,−30° 48′ 20.4″,42.0,0.061093632,0.102763,2003.0,RW Cephei,"014,000",13.9,"1,158"
570,570,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,RW Cephei,"014,000",13.9,"1,158"
571,571,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,RW Cephei,"014,000",13.9,"1,158"
572,572,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,RW Cephei,"014,000",13.9,"1,158"
573,573,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,RW Cephei,"014,000",13.9,"1,158"
574,574,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,RW Cephei,"014,000",13.9,"1,158"
575,575,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,RW Cephei,"014,000",13.9,"1,158"
576,576,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,Lacaille 8760,012.87,0.6,0.51
577,577,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,Lacaille 8760,012.87,0.6,0.51
578,578,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,Lacaille 8760,012.87,0.6,0.51
579,579,2MASS J04510093-3402150 [de],Caelum,4h 51m 0.93s,−34° 2′ 15″,69.0,0.068730336,0.10687352,2003.0,Lacaille 8760,012.87,0.6,0.51
580,580,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,Lacaille 8760,012.87,0.6,0.51
581,581,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,Lacaille 8760,012.87,0.6,0.51
582,582,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,Lacaille 8760,012.87,0.6,0.51
583,583,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,Lacaille 8760,012.87,0.6,0.51
584,584,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,V838 Monocerotis,"019,896",,380 - 750
585,585,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,V838 Monocerotis,"019,896",,380 - 750
586,586,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,V838 Monocerotis,"019,896",,380 - 750
587,587,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,V838 Monocerotis,"019,896",,380 - 750
588,588,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,V838 Monocerotis,"019,896",,380 - 750
589,589,2MASS J05002100+0330501 [de],Orion,5h 0m 21s,3° 30′ 50.1″,44.0,0.061093632,0.102763,2008.0,V838 Monocerotis,"019,896",,380 - 750
590,590,2MASS J05012406-0010452 [de],Orion,5h 1m 24.06s,−0° 10′ 45.2″,64.0,0.020046348,0.1418129399999999,2008.0,V838 Monocerotis,"019,896",,380 - 750
591,591,2MASS J05012406-0010452 [de],Orion,5h 1m 24.06s,−0° 10′ 45.2″,64.0,0.020046348,0.1418129399999999,2008.0,V838 Monocerotis,"019,896",,380 - 750
592,592,2MASS J05012406-0010452 [de],Orion,5h 1m 24.06s,−0° 10′ 45.2″,64.0,0.020046348,0.1418129399999999,2008.0,HD 140283,0202,0.81,2.04
