,id,Brown dwarf,Constellation,Right ascension,Declination,Distance,Mass,Radius,Discovery year,star_names,distance,mass,radius
105,105,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Acrux,0320,18,8.9
106,106,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Acrux,0320,18,8.9
107,107,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Acrux,0320,18,8.9
108,108,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Acrux,0320,18,8.9
109,109,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Acrux,0320,18,8.9
110,110,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Acrux,0320,18,8.9
111,111,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Acrux,0320,18,8.9
112,112,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44
113,113,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44
114,114,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44
115,115,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44
116,116,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44
117,117,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44
118,118,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44
119,119,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,57.0,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44
120,120,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Antares,0600,12,680
121,121,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Antares,0600,12,680
122,122,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Antares,0600,12,680
123,123,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Antares,0600,12,680
124,124,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Antares,0600,12,680
125,125,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Antares,0600,12,680
126,126,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Antares,0600,12,680
127,127,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Antares,0600,12,680
128,128,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Spica,0260,11.43,7.47
129,129,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,40.0,0.011455056,0.1335918999999999,0.0,Spica,0260,11.43,7.47
130,130,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Spica,0260,11.43,7.47
131,131,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Spica,0260,11.43,7.47
132,132,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Spica,0260,11.43,7.47
133,133,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Spica,0260,11.43,7.47
134,134,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Spica,0260,11.43,7.47
135,135,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Spica,0260,11.43,7.47
136,136,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Pollux,0034,1.9,8.8
137,137,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Pollux,0034,1.9,8.8
138,138,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Pollux,0034,1.9,8.8
139,139,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,34.0,0.03818352,0.0965972199999999,0.0,Pollux,0034,1.9,8.8
150,150,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Fomalhaut,0025,1.9,1.8
151,151,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Fomalhaut,0025,1.9,1.8
152,152,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Deneb,"2,600",19,203
153,153,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Deneb,"2,600",19,203
154,154,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Deneb,"2,600",19,203
155,155,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Deneb,"2,600",19,203
156,156,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Deneb,"2,600",19,203
157,157,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Deneb,"2,600",19,203
158,158,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Deneb,"2,600",19,203
159,159,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,96.0,0.027683052,0.1469510899999999,0.0,Deneb,"2,600",19,203
160,160,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Mimosa,0350,16,8.4
161,161,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Mimosa,0350,16,8.4
162,162,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Mimosa,0350,16,8.4
163,163,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Mimosa,0350,16,8.4
164,164,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Mimosa,0350,16,8.4
165,165,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Mimosa,0350,16,8.4
166,166,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Mimosa,0350,16,8.4
167,167,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Mimosa,0350,16,8.4
168,168,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Regulus,0077,3.8,3.1
169,169,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,30.0,0.021955524,0.0,2013.0,Regulus,0077,3.8,3.1
170,170,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Regulus,0077,3.8,3.1
171,171,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Regulus,0077,3.8,3.1
172,172,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Regulus,0077,3.8,3.1
173,173,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Regulus,0077,3.8,3.1
174,174,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Regulus,0077,3.8,3.1
175,175,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Regulus,0077,3.8,3.1
176,176,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
