,id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year,star_names,distance,mass,radius,luminosity
67,67,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Procyon,0011.4,1.5,1.9,7.7
68,68,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Procyon,0011.4,1.5,1.9,7.7
69,69,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Procyon,0011.4,1.5,1.9,7.7
70,70,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Procyon,0011.4,1.5,1.9,7.7
71,71,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Procyon,0011.4,1.5,1.9,7.7
72,72,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Betelgeuse,0640[1],20,950,"60,000"
73,73,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Betelgeuse,0640[1],20,950,"60,000"
74,74,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Betelgeuse,0640[1],20,950,"60,000"
75,75,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Betelgeuse,0640[1],20,950,"60,000"
76,76,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Betelgeuse,0640[1],20,950,"60,000"
77,77,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Betelgeuse,0640[1],20,950,"60,000"
78,78,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,0.0,87.2,L7,0.051547752,0.10070773999999999,0.0,Betelgeuse,0640[1],20,950,"60,000"
